Tag;Stunde;Minute;Ruderschlaege/Minute;Segel
21;17;30;0;0
21;17;31;0;0
21;17;32;0;0
21;17;33;0;0
21;17;34;0;0
21;17;35;0;0
21;17;36;0;0
21;17;37;0;0
21;17;38;0;0
21;17;39;-13;0
21;17;40;-26;0
21;17;41;-30;0
21;17;42;-27;0
21;17;43;-31;0
21;17;44;-5;0
21;17;45;0;0
21;17;46;0;0
21;17;47;0;0
21;17;48;0;0
21;17;49;0;0
21;17;50;0;0
21;17;51;0;0
21;17;52;4;0
21;17;53;18;0
21;17;54;-24;0
21;17;55;-24;0
21;17;56;24;0
21;17;57;28;0
21;17;58;27;0
21;17;59;27;0
21;18;0;30;0
21;18;1;29;0
21;18;2;30;0
21;18;3;29;0
21;18;4;31;0
21;18;5;28;0
21;18;6;29;0
21;18;7;27;0
21;18;8;-20;0
21;18;9;-18;0
21;18;10;-16;0
21;18;11;-6;0
21;18;12;-3;0
21;18;13;-18;0
21;18;14;27;0
21;18;15;26;0
21;18;16;33;0
21;18;17;26;0
21;18;18;25;0
21;18;19;23;0
21;18;20;4;0
21;18;21;0;0
21;18;22;0;0
21;18;23;0;0
21;18;24;0;0
21;18;25;0;0
21;18;26;28;0
21;18;27;11;0
21;18;28;29;0
21;18;29;28;0
21;18;30;4;0
21;18;31;14;0
21;18;32;29;0
21;18;33;27;0
21;18;34;29;0
21;18;35;29;0
21;18;36;30;0
21;18;37;28;0
21;18;38;33;0
21;18;39;29;0
21;18;40;28;0
21;18;41;30;0
21;18;42;32;0
21;18;43;30;0
21;18;44;21;0
21;18;45;15;0
21;18;46;27;0
21;18;47;17;0
21;18;48;29;0
21;18;49;29;0
21;18;50;30;0
21;18;51;8;0
21;18;52;4;0
21;18;53;9;0
22;10;54;-3;0
22;10;55;0;0
22;10;56;-15;0
22;10;57;-15;0
22;10;58;-17;0
22;10;59;-15;0
22;11;0;-15;0
22;11;1;19;0
22;11;2;25;0
22;11;3;27;0
22;11;4;9;0
22;11;5;20;0
22;11;6;-20;0
22;11;7;-19;0
22;11;8;-18;0
22;11;9;-20;0
22;11;10;-13;0
22;11;11;8;0
22;11;12;0;0
22;11;13;0;0
22;11;14;0;0
22;11;15;0;0
22;11;16;0;0
22;11;17;15;0
22;11;18;20;0
22;11;19;28;0
22;11;20;30;0
22;11;21;28;0
22;11;22;29;0
22;11;23;29;0
22;11;24;29;0
22;11;25;22;0
22;11;26;22;0
22;11;27;30;0
22;11;28;29;0
22;11;29;28;0
22;11;30;30;0
22;11;31;19;0
22;11;32;0;0
22;11;33;0;0
22;11;34;-8;0
22;11;35;6;0
22;11;36;27;0
22;11;37;29;0
22;11;38;30;0
22;11;39;29;0
22;11;40;29;0
22;11;41;30;0
22;11;42;28;0
22;11;43;29;0
22;11;44;0;0
22;11;45;0;0
22;11;46;0;0
22;11;47;0;0
22;11;48;0;0
22;11;49;0;0
22;11;50;0;0
22;11;51;0;0
22;11;52;-17;0
22;11;53;20;0
22;11;54;28;0
22;11;55;31;0
22;11;56;12;0
22;11;57;0;0
22;11;58;21;0
22;11;59;31;0
22;12;0;27;0
22;12;1;0;0
22;12;2;0;0
22;12;3;0;0
22;12;4;0;0
22;12;5;0;0
22;12;6;0;0
22;12;7;8;0
22;12;8;31;0
22;12;9;32;0
22;12;10;0;0
22;12;11;0;0
22;12;12;0;0
22;12;13;20;0
22;12;14;28;0
22;12;15;31;0
22;12;16;33;0
22;12;17;31;0
22;12;18;-12;0
22;12;19;-22;0
22;12;20;25;0
22;12;21;16;0
22;12;22;13;0
22;12;23;5;0
23;13;37;0;0
23;13;38;-18;0
23;13;39;-20;0
23;13;40;18;0
23;13;41;24;0
23;13;42;29;0
23;13;43;30;0
23;13;44;17;0
23;13;45;0;0
23;13;46;30;0
23;13;47;34;0
23;13;48;35;0
23;13;49;33;0
23;13;50;29;0
23;13;51;-14;0
23;13;52;-33;0
23;13;53;-4;0
23;13;54;0;0
23;13;55;0;0
23;13;56;-13;0
23;13;57;-22;0
23;13;58;30;1
23;13;59;29;1
23;14;0;32;1
23;14;1;32;1
23;14;2;0;1
23;14;3;0;1
23;14;4;25;1
23;14;5;25;1
23;14;6;30;0
23;14;7;23;0
23;14;8;33;0
23;14;9;27;0
23;14;10;33;0
23;14;11;31;0
23;14;12;32;0
23;14;13;32;0
23;14;14;32;0
23;14;15;22;0
23;14;16;0;1
23;14;17;0;1
23;14;18;0;1
23;14;19;0;1
23;14;20;0;1
23;14;21;0;1
23;14;22;0;1
23;14;23;0;1
23;14;24;0;1
23;14;25;0;1
23;14;26;0;1
23;14;27;0;1
23;14;28;0;1
23;14;29;0;1
23;14;30;0;1
23;14;31;0;1
23;14;32;0;1
23;14;33;0;1
23;14;34;0;1
23;14;35;7;1
23;14;36;24;0
23;14;37;28;0
23;14;38;31;0
23;14;39;33;0
23;14;40;31;0
23;14;41;32;0
23;14;42;33;0
23;14;43;34;0
23;14;44;30;0
23;14;45;33;0
23;14;46;32;0
23;14;47;0;0
23;14;48;0;0
23;14;49;28;0
23;14;50;24;0
23;14;51;30;0
23;14;52;32;0
23;14;53;30;0
23;14;54;25;0
23;14;55;30;0
23;14;56;15;0
23;14;57;0;0
23;14;58;1;0
24;10;24;0;0
24;10;25;0;0
24;10;26;0;0
24;10;27;0;0
24;10;28;-16;0
24;10;29;20;0
24;10;30;27;0
24;10;31;31;0
24;10;32;-22;0
24;10;33;-23;0
24;10;34;30;0
24;10;35;30;0
24;10;36;5;0
24;10;37;4;0
24;10;38;27;0
24;10;39;28;0
24;10;40;31;0
24;10;41;32;0
24;10;42;30;0
24;10;43;25;0
24;10;44;25;0
24;10;45;-21;0
24;10;46;-31;0
24;10;47;25;0
24;10;48;31;0
24;10;49;15;0
24;10;50;0;0
24;10;51;0;0
24;10;52;0;0
24;10;53;0;0
24;10;54;0;0
24;10;55;0;0
24;10;56;0;0
24;10;57;0;1
24;10;58;0;1
24;10;59;0;1
24;11;0;0;1
24;11;1;0;1
24;11;2;0;1
24;11;3;0;1
24;11;4;0;1
24;11;5;0;1
24;11;6;0;1
24;11;7;0;1
24;11;8;0;1
24;11;9;0;1
24;11;10;0;1
24;11;11;0;1
24;11;12;0;1
24;11;13;0;1
24;11;14;0;1
24;11;15;0;1
24;11;16;0;1
24;11;17;0;1
24;11;18;0;1
24;11;19;0;1
24;11;20;0;1
24;11;21;0;1
24;11;22;0;1
24;11;23;0;1
24;11;24;0;1
24;11;25;13;1
24;11;26;26;0
24;11;27;28;0
24;11;28;19;0
24;11;29;20;0
24;11;30;-5;0
24;11;31;23;0
24;11;32;17;1
24;11;33;9;1
24;11;34;0;1
24;11;35;0;1
24;11;36;0;1
24;11;37;0;1
24;11;38;0;1
24;11;39;0;1
24;11;40;0;1
24;11;41;0;1
24;11;42;0;1
24;11;43;0;1
24;11;44;0;1
24;11;45;23;1
24;11;46;9;1
24;11;47;0;1
24;11;48;0;1
24;11;49;0;1
24;11;50;0;1
24;11;51;0;1
24;11;52;0;1
24;11;53;0;1
24;11;54;0;1
24;11;55;0;1
24;11;56;0;1
24;11;57;0;1
24;11;58;0;1
24;11;59;0;1
24;12;0;0;1
24;12;1;0;1
24;12;2;0;1
24;12;3;0;1
24;12;4;0;1
24;12;5;0;1
24;12;6;0;1
24;12;7;0;1
24;12;8;0;1
24;12;9;0;1
24;12;10;0;1
24;12;11;0;1
24;12;12;0;1
24;12;13;0;1
24;12;14;0;1
24;12;15;0;1
