"Tag";"Stunde";"Minute";"Ruderschlaege/Minute";"Segel"
15;15;9;0;1
15;15;10;0;1
15;15;11;0;1
15;15;12;0;1
15;15;13;0;1
15;15;14;0;1
15;15;15;15;0
15;15;16;18;0
15;15;17;24;0
15;15;18;25;0
15;15;19;27;0
15;15;20;16;0
15;15;21;27;0
15;15;22;26;0
15;15;23;27;0
15;15;24;27;0
15;15;25;27;0
15;15;26;26;0
15;15;27;17;0
15;15;28;27;0
15;15;29;27;0
15;15;30;27;0
15;15;31;27;0
15;15;32;26;0
15;15;33;25;0
15;15;34;3;0
15;15;35;0;1
15;15;36;0;1
15;15;37;0;1
15;15;38;0;1
15;15;39;0;1
15;15;40;0;1
15;15;41;0;1
15;15;42;0;1
15;15;43;0;1
15;15;44;0;1
15;15;45;0;1
15;15;46;0;1
15;15;47;0;1
15;15;48;0;1
15;15;49;0;1
15;15;50;0;1
15;15;51;0;0
15;15;52;-1;0
15;15;53;14;0
15;15;54;24;0
15;15;55;24;0
15;15;56;23;0
15;15;57;23;0
15;15;58;17;0
15;15;59;23;0
15;16;0;25;0
15;16;1;26;0
15;16;2;27;0
15;16;3;28;0
15;16;4;27;0
15;16;5;28;0
15;16;6;26;0
15;16;7;17;0
15;16;8;8;0
15;16;9;9;0
15;16;10;0;0
15;16;11;-8;0
15;16;12;-6;0
15;16;13;0;0
15;16;33;0;0
15;16;34;23;0
15;16;35;22;0
15;16;36;26;0
15;16;37;25;0
15;16;38;26;0
15;16;39;26;0
15;16;40;25;0
15;16;41;27;0
15;16;42;27;0
15;16;43;25;0
15;16;44;0;0
15;16;45;0;0
15;16;46;0;1
15;16;47;0;1
15;16;48;0;1
15;16;49;0;1
15;16;50;0;1
15;16;51;0;0
15;16;52;19;0
15;16;53;25;0
15;16;54;-25;0
15;16;55;-25;0
15;16;56;-25;0
15;16;57;-25;0
15;16;58;-25;0
15;16;59;-25;0
15;17;0;-20;0
15;17;1;0;0
15;17;2;0;0
15;17;3;8;0
15;17;4;6;0
15;17;5;25;0
15;17;6;11;0
15;17;7;0;0
15;17;8;0;0
15;17;9;-5;0
15;17;10;-17;0
15;17;11;23;0
15;17;12;23;0
15;17;13;25;0
15;17;14;25;0
15;17;15;26;0
15;17;16;21;0
15;17;17;25;0
15;17;18;22;0
15;17;19;0;0
15;17;20;0;0
15;17;21;0;0
15;17;22;0;0
15;17;23;-19;0
15;17;24;-12;0
15;17;25;0;0
15;17;26;0;1
15;17;27;0;1
15;17;28;0;1
15;17;29;0;1
15;17;30;0;1
15;17;31;11;0
15;17;32;27;0
15;17;33;27;0
15;17;34;22;0
15;17;35;25;0
15;17;36;27;0
15;17;37;26;0
15;17;38;26;0
15;17;39;25;0
15;17;40;27;0
15;17;41;26;0
15;17;42;26;0
15;17;43;1;0
15;17;44;-20;0
15;17;45;29;0
15;17;46;29;0
15;17;47;25;0
15;17;48;-12;0
15;17;49;2;0
15;17;50;1;0
15;17;51;-1;0
15;17;52;-1;0
15;17;53;-1;0
15;17;54;1;0
15;17;55;1;0
15;17;56;1;0
15;17;57;-1;0
15;17;58;-1;0
15;17;59;1;0
15;18;0;1;0
15;18;1;0;0
15;18;2;-8;0
15;18;3;-22;0
15;18;4;-19;0
15;18;5;25;0
15;18;6;26;0
15;18;7;16;0
15;18;8;-5;0
15;18;9;-14;0
15;18;10;25;0
15;18;11;-15;0
15;18;12;0;0
15;18;13;0;0
15;18;14;0;0
16;13;48;0;0
16;13;49;20;0
16;13;50;24;0
16;13;51;24;0
16;13;52;27;0
16;13;53;26;0
16;13;54;27;0
16;13;55;27;0
16;13;56;28;0
16;13;57;26;0
16;13;58;27;0
16;13;59;29;0
16;14;0;18;0
16;14;1;25;0
16;14;2;28;0
16;14;3;27;0
16;14;4;29;0
16;14;5;-24;0
16;14;6;-14;0
16;14;7;0;0
16;14;8;0;0
16;14;9;0;0
16;14;10;0;0
16;14;11;0;0
16;14;12;0;1
16;14;13;4;1
16;14;14;30;1
16;14;15;30;1
